user,age
1,True
2,False
3,True
4,False
5,True
6,False
7,False
8,True
9,True
10,False
11,True
12,True
13,False
14,False
15,True
16,False
17,False
18,True
19,True
20,True
21,True
22,True
23,False
24,True
25,True
26,True
27,True
28,True
29,False
30,False
31,False
32,True
33,False
34,True
35,False
36,True
37,True
38,True
39,True
40,False
41,True
42,True
43,True
44,False
45,False
46,True
47,True
48,True
49,True
50,True
51,True
52,True
53,True
54,False
55,False
56,False
57,True
58,True
59,False
60,False
61,True
62,False
63,True
64,True
65,False
66,True
67,False
68,True
69,True
70,True
71,True
72,False
73,True
74,False
75,True
76,False
77,True
78,False
79,False
80,False
81,True
82,True
83,True
84,True
85,True
86,True
87,True
88,False
89,False
90,False
91,False
92,True
93,True
94,True
95,False
96,True
97,False
98,False
99,True
100,False
101,True
102,False
103,False
104,True
105,False
106,False
107,False
108,True
109,False
110,True
111,False
112,True
113,True
114,True
115,True
116,True
117,True
118,False
119,True
120,True
121,False
122,True
123,False
124,False
125,False
126,True
127,False
128,False
129,True
130,False
131,True
132,True
133,True
134,True
135,True
136,True
137,False
138,True
139,True
140,False
141,False
142,True
143,True
144,True
145,True
146,False
147,True
148,False
149,True
150,False
151,True
152,True
153,True
154,False
155,False
156,False
157,False
158,False
159,False
160,False
161,False
162,True
163,True
164,False
165,True
166,True
167,True
168,False
169,True
170,True
171,False
172,True
173,True
174,True
175,True
176,True
177,False
178,False
179,True
180,False
181,True
182,True
183,False
184,True
185,False
186,True
187,False
188,False
189,True
190,True
191,True
192,True
193,False
194,True
195,True
196,False
197,True
198,True
199,True
200,True
201,False
202,True
203,True
204,True
205,False
206,True
207,True
208,False
209,False
210,True
211,False
212,True
213,True
214,True
215,False
216,False
217,True
218,False
219,True
220,True
221,True
222,True
223,True
224,True
225,True
226,False
227,False
228,True
229,True
230,False
231,True
232,True
233,False
234,False
235,True
236,True
237,True
238,False
239,True
240,False
241,False
242,True
243,True
244,False
245,False
246,True
247,True
248,True
249,True
250,False
251,False
252,True
253,True
254,False
255,False
256,False
257,True
258,True
259,True
260,True
261,True
262,True
263,True
264,False
265,False
266,False
267,False
268,True
269,True
270,False
271,True
272,True
273,True
274,True
275,True
276,False
277,False
278,False
279,True
280,False
281,False
282,True
283,True
284,True
285,False
286,True
287,False
288,True
289,True
290,True
291,False
292,False
293,False
294,False
295,True
296,False
297,True
298,True
299,True
300,True
301,True
302,True
303,True
304,True
305,True
306,True
307,False
308,True
309,True
310,True
311,True
312,False
313,True
314,False
315,False
316,False
317,False
318,False
319,False
320,False
321,True
322,False
323,False
324,False
325,False
326,False
327,False
328,False
329,False
330,False
331,True
332,False
333,False
334,False
335,False
336,True
337,True
338,False
339,False
340,True
341,False
342,True
343,False
344,False
345,True
346,True
347,False
348,False
349,True
350,False
351,True
352,True
353,False
354,False
355,True
356,False
357,True
358,False
359,True
360,False
361,True
362,False
363,True
364,False
365,True
366,False
367,False
368,True
369,False
370,True
371,True
372,True
373,True
374,False
375,True
376,False
377,True
378,True
379,False
380,True
381,False
382,False
383,True
384,True
385,True
386,True
387,False
388,True
389,True
390,True
391,False
392,True
393,False
394,True
395,True
396,True
397,False
398,True
399,False
400,True
401,True
402,True
403,True
404,True
405,False
406,True
407,True
408,True
409,True
410,True
411,False
412,False
413,True
414,True
415,False
416,False
417,True
418,True
419,True
420,False
421,False
422,False
423,True
424,True
425,True
426,True
427,False
428,True
429,True
430,True
431,True
432,False
433,False
434,False
435,True
436,True
437,False
438,True
439,False
440,False
441,False
442,True
443,True
444,False
445,False
446,False
447,False
448,True
449,True
450,False
451,False
452,False
453,True
454,True
455,False
456,False
457,True
458,False
459,True
460,False
461,False
462,True
463,True
464,True
465,True
466,True
467,False
468,True
469,False
470,True
471,False
472,False
473,True
474,True
475,True
476,False
477,False
478,False
479,True
480,True
481,False
482,True
483,True
484,True
485,False
486,False
487,False
488,True
489,True
490,True
491,True
492,True
493,False
494,False
495,True
496,True
497,True
498,False
499,True
500,True
501,True
502,False
503,False
504,True
505,False
506,True
507,True
508,True
509,True
510,True
511,False
512,False
513,True
514,True
515,True
516,False
517,True
518,False
519,False
520,False
521,False
522,True
523,False
524,True
525,False
526,False
527,True
528,True
529,False
530,True
531,True
532,True
533,True
534,True
535,False
536,True
537,False
538,False
539,True
540,True
541,True
542,True
543,True
544,False
545,False
546,True
547,False
548,False
549,True
550,False
551,False
552,False
553,True
554,True
555,True
556,True
557,False
558,False
559,True
560,False
561,True
562,False
563,True
564,False
565,True
566,True
567,False
568,False
569,True
570,True
571,False
572,True
573,False
574,True
575,True
576,False
577,False
578,True
579,True
580,True
581,False
582,True
583,True
584,True
585,True
