user,item,position,weight
1,2396,0,-4.2443867
1,2858,1,-4.2844167
1,1210,2,-4.492371
1,1,3,-4.5950108
1,1198,4,-4.6484814
1,912,5,-4.6524725
1,1196,6,-4.654949
1,1265,7,-4.656441
1,356,8,-4.6941476
1,34,9,-4.71414
2,527,0,-4.348151
2,858,1,-4.744217
2,608,2,-4.756173
2,150,3,-4.9320183
2,1704,4,-4.970112
2,1183,5,-4.971523
2,296,6,-4.9965153
2,1617,7,-5.061756
2,1233,8,-5.1130877
2,1674,9,-5.1176214
3,589,0,-4.556648
3,1270,1,-4.583786
3,110,2,-4.6309233
3,2028,3,-4.644418
3,2000,4,-4.694224
3,2628,5,-4.697999
3,1036,6,-4.757268
3,457,7,-4.763624
3,2571,8,-4.801198
3,1240,9,-4.8285255
4,589,0,-3.9009485
4,858,1,-4.1008673
4,1240,2,-4.149807
4,2571,3,-4.2361884
4,110,4,-4.2457714
4,1221,5,-4.271113
4,1200,6,-4.4569907
4,1270,7,-4.516348
4,2858,8,-4.667419
4,1304,9,-4.6934576
5,3160,0,-4.639471
5,223,1,-4.970281
5,1673,2,-5.1914005
5,3174,3,-5.4219093
5,3007,4,-5.4702682
5,2396,5,-5.480691
5,3129,6,-5.497223
5,778,7,-5.5658402
5,1354,8,-5.5708976
5,2966,9,-5.5866375
6,356,0,-4.478463
6,1265,1,-4.630689
6,1721,2,-4.862313
6,357,3,-4.881114
6,539,4,-4.9361434
6,11,5,-5.0036554
6,2080,6,-5.0720253
6,920,7,-5.0787144
6,3114,8,-5.116056
6,919,9,-5.144911
7,1210,0,-4.0572233
7,260,1,-4.1406317
7,2628,2,-4.193321
7,1198,3,-4.581521
7,1240,4,-4.6214066
7,780,5,-4.659153
7,1573,6,-4.7459774
7,593,7,-4.830264
7,349,8,-4.8388815
7,1527,9,-4.945492
8,318,0,-4.5456676
8,593,1,-4.607835
8,1358,2,-4.800312
8,1617,3,-4.9374733
8,2762,4,-4.942906
8,50,5,-5.052662
8,1183,6,-5.074585
8,3176,7,-5.181033
8,1094,8,-5.234872
8,457,9,-5.2462344
9,296,0,-4.052515
9,2997,1,-4.429266
9,2396,2,-4.431368
9,110,3,-4.733947
9,34,4,-4.7958994
9,589,5,-4.9948053
9,356,6,-5.0564957
9,480,7,-5.1300783
9,36,8,-5.1544495
9,1673,9,-5.1625223
10,595,0,-5.517513
10,1022,1,-5.5484715
10,1073,2,-5.5631046
10,2087,3,-5.5638623
10,1097,4,-5.62751
10,2096,5,-5.633169
10,2085,6,-5.6384835
10,1029,7,-5.727904
10,2987,8,-5.7829704
10,1196,9,-5.7960076
11,2599,0,-4.7069335
11,2395,1,-4.7123065
11,223,2,-4.790775
11,1060,3,-4.861697
11,296,4,-4.9638395
11,34,5,-4.9849
11,1641,6,-4.9895315
11,1,7,-4.993889
11,1500,8,-5.1108985
11,39,9,-5.12516
12,2028,0,-4.484979
12,260,1,-4.514446
12,1196,2,-4.5226235
