user,gender
1,True
2,False
3,False
4,False
5,False
6,True
7,False
8,False
9,False
10,True
11,True
12,False
13,False
14,False
15,False
16,True
17,False
18,True
19,False
20,False
21,False
22,False
23,False
24,True
25,False
26,False
27,False
28,True
29,False
30,True
31,False
32,True
33,False
34,True
35,False
36,False
37,True
38,True
39,False
40,False
41,True
42,False
43,False
44,False
45,True
46,False
47,False
48,False
49,False
50,True
51,True
52,False
53,False
54,False
55,True
56,False
57,False
58,False
59,True
60,False
61,False
62,True
63,False
64,False
65,False
66,False
67,True
68,False
69,True
70,False
71,False
72,True
73,False
74,False
75,True
76,False
77,False
78,True
79,True
80,False
81,True
82,False
83,True
84,False
85,False
86,True
87,False
88,True
89,True
90,False
91,False
92,True
93,False
94,False
95,False
96,True
97,True
98,True
99,True
100,False
101,True
102,False
103,False
104,False
105,False
106,True
107,False
108,False
109,False
110,False
111,False
112,False
113,False
114,True
115,False
116,False
117,False
118,False
119,True
120,False
121,False
122,True
123,False
124,False
125,False
126,False
127,True
128,False
129,False
130,False
131,False
132,False
133,True
134,False
135,False
136,False
137,True
138,False
139,True
140,True
141,False
142,False
143,False
144,False
145,False
146,True
147,False
148,False
149,False
150,False
151,True
152,False
153,False
154,False
155,False
156,True
157,False
158,False
159,True
160,False
161,False
162,True
163,False
164,True
165,False
166,False
167,True
168,True
169,False
170,False
171,True
172,False
173,False
174,False
175,True
176,True
177,False
178,False
179,False
180,False
181,False
182,False
183,True
184,True
185,False
186,False
187,True
188,False
189,False
190,False
191,False
192,False
193,True
194,True
195,False
196,True
197,False
198,False
199,False
200,True
201,True
202,False
203,True
204,False
205,False
206,False
207,False
208,False
209,False
210,True
211,False
212,False
213,True
214,False
215,False
216,False
217,False
218,False
219,True
220,False
221,True
222,False
223,False
224,True
225,False
226,False
227,False
228,False
229,False
230,False
231,False
232,False
233,True
234,False
235,False
236,False
237,False
238,True
239,False
240,False
241,False
242,True
243,False
244,False
245,False
246,True
247,False
248,False
249,True
250,False
251,False
252,False
253,True
254,False
255,False
256,False
257,False
258,False
259,False
260,False
261,False
262,True
263,True
264,False
265,True
266,False
267,False
268,True
269,False
270,False
271,False
272,False
273,False
274,False
275,False
276,False
277,True
278,False
279,False
280,False
281,True
282,False
283,False
284,False
285,True
286,False
287,False
288,True
289,True
290,True
291,False
292,False
293,False
294,True
295,False
296,False
297,False
298,True
299,False
300,False
301,False
302,False
303,False
304,False
305,True
306,False
307,False
308,False
309,False
310,True
311,False
312,True
313,True
314,True
315,True
316,False
317,False
318,True
319,True
320,False
321,False
322,False
323,False
324,False
325,True
326,False
327,False
328,False
329,False
330,False
331,False
332,False
333,False
334,True
335,False
336,False
337,False
338,False
339,False
340,True
341,True
342,False
343,True
344,False
345,False
346,True
347,True
348,False
349,False
350,False
351,False
352,False
353,True
354,False
355,False
356,False
357,False
358,True
359,False
360,False
361,True
362,False
363,False
364,True
365,True
366,False
367,False
368,False
369,False
370,False
371,False
372,True
373,True
374,True
375,False
376,False
377,False
378,True
379,True
380,False
381,False
382,True
383,True
384,False
385,False
386,False
387,True
388,True
389,False
390,False
391,False
392,False
393,False
394,False
395,False
396,False
397,False
398,False
399,True
400,True
401,False
402,False
403,False
404,False
405,False
406,False
407,False
408,False
409,False
410,True
411,True
412,False
413,False
414,False
415,True
416,False
417,True
418,True
419,False
420,False
421,True
422,False
423,False
424,False
425,False
426,False
427,False
428,True
429,False
430,True
431,False
432,False
433,False
434,True
435,False
436,False
437,False
438,False
439,False
440,False
441,False
442,False
443,False
444,False
445,False
446,True
447,True
448,False
449,False
450,False
451,False
452,False
453,False
454,False
455,True
456,False
457,False
458,False
459,True
460,False
461,False
462,False
463,False
464,True
465,False
466,False
467,True
468,True
469,False
470,True
471,False
472,False
473,True
474,False
475,True
476,False
477,False
478,False
479,False
480,True
481,False
482,False
483,False
484,True
485,False
486,False
487,True
488,False
489,False
490,False
491,False
492,False
493,False
494,True
495,False
496,False
497,True
498,False
499,True
500,True
501,False
502,False
503,False
504,False
505,False
506,False
507,True
508,False
509,False
510,False
511,True
512,False
513,False
514,False
515,False
516,True
517,True
518,True
519,True
520,True
521,False
522,False
523,False
524,False
525,False
526,False
527,True
528,True
529,False
530,False
531,True
532,False
533,False
534,False
535,False
536,False
537,False
538,False
539,False
540,False
541,True
542,False
543,False
544,False
545,False
546,True
547,False
548,True
549,False
550,False
551,False
552,False
553,False
554,False
555,False
556,True
557,False
558,False
559,True
560,False
561,True
562,False
563,False
564,False
565,False
566,False
567,False
568,True
569,True
570,False
571,False
572,False
573,True
574,False
575,False
576,True
577,False
578,False
579,False
580,False
581,False
582,False
583,True
584,True
585,False
